Hotel Name,Rating,Title,Text,Reply
Radisson RED Miami Airport,5,Oui bar had an nice atmosphere ,"I requested a Long Island top shelf from Daniela at the bar and the drink was awesome. Her customer service skills is also  awesome and greets you with a beautiful smile. It is so nice to a young person, who is nice and can be professional. There is still hope for our young adults. You are our future Daniela , keep up the good work.","Thank you for your fantastic 5/5 review. We're delighted to hear that you enjoyed the atmosphere at Oui Bar and had a great experience with our team, particularly Daniela. We greatly appreciate your positive feedback, and we'll be sure to pass on your kind words. We look forward to serving you again in the future.  Warm regards,"
Radisson RED Miami Airport,1,One of the worst hotels in America,"Disgusting hotel with a horrible odor. The room smelled like weed/wet dog and was filthy upon arrival. Staff did not care. I booked a king bed, we were given 2 queens which the staff spun as a complimentary upgrade. ","We're truly sorry to hear about your disappointing experience. Your feedback is valuable to us, and we will investigate these issues to ensure they are addressed. We apologize for the odor and room condition you encountered, and we'll work to improve our service and communication. Thank you for sharing your concerns with us."
Radisson RED Miami Airport,5,Great Experience!,"I always stay at the Radisson Red is a very convenient location. People are super friendly, food is above average and they carry Alkaline Water PH Plus. Also a special mention to Moisely at the Bar super friendly! Overall a great experience","Thank you for your positive review! We're delighted to hear that you had a great experience during your stay at Radisson Red. We appreciate your compliments on our convenient location, friendly staff, above-average food, and the availability of Alkaline Water PH Plus. We'll be sure to pass your special mention to Moisely at the bar along, and we look forward to welcoming you back in the future."
Radisson RED Miami Airport,5,Travelor,"Daniela was wonderful.  Great service.  We had the wings with spicy garlic.  YUM!  The drinks were amazing. Not run of the mil, exciting flavors for the pallette.  Try the dark pirate .  Another drink to try is the outstanding Bacilo.","We're pleased to hear about your positive experience at our establishment. Daniela provided wonderful service, and it's great to know you enjoyed the wings with spicy garlic. We're glad you liked our unique and exciting drink options, especially the ""Dark Pirate"" and the ""Outstanding Bacilo."" Thank you for sharing your feedback, and we hope to welcome you back soon for more delightful experiences.  "
Radisson RED Miami Airport,5,So very convenient,"Cosy, comfortable but basic room. Pleasantly surprised, the room was a bit larger than I was expecting. Onsite parking included in the price and hotel is in a convenient location for the airport. Meals available and also a bar area. ","We appreciate your positive feedback. It's great to hear that you found our hotel convenient, with cozy and comfortable rooms that exceeded your expectations. The included onsite parking and the hotel's proximity to the airport are certainly convenient perks. We're glad you enjoyed the meals and the bar area as well. Thank you for sharing your experience, and we look forward to welcoming you again in the future."
Radisson RED Miami Airport,4,Monday night ,"Great staff, everything looking organized and clean. Bartender Moisely was very social and awesome job. The drinks that she made were delicious. I would stay here again because of the low prices they have for one night. Being close to the airport is definitely a Plus",We're delighted to hear that you had a great experience during your Monday night stay. It's wonderful to know that our staff was helpful and that the hotel was organized and clean. The delicious drinks and the value you found in our pricing and proximity to the airport make us look forward to hosting you again in the future.
Radisson RED Miami Airport,5,Afternoon meal with Moisely.,"I stopped in for a bite to eat and drinks. I had the  Bravo Burger, medium with everything it comes with...delicious.  The STAR for me was the EXTRA spicy Bloody Mary made with Don Julio silver tequila. Moisely balanced the flavors and spicy VERY well! (So much so, that I may or may not have had 3 after the first one lol).  When Moisely became busy, she was sure to communicate what was going on, which was comforting to me because thoughtful things like that are often over looked.  Hands down BEST service and BEST Bloody Mary I have had in a while.  Would totally return and recommend. ","Thank you for sharing your positive experience during your visit for food and drinks. We're pleased to know you enjoyed the meal and drinks. Your kind words about the service are much appreciated, and we look forward to your return and any future recommendations.  "
Radisson RED Miami Airport,5,Would Not Stay Anywhere Else ,"Walking in and you are welcomed by the lovely front desk Associate Martha, Made me and my family feel right at home, Suburb Hospitality, Amazing Staff, I was recommended to try the Red Burger By Roberto ( Best Burger in town ) and the Sunday Morning drink by Moi ( 10/10 ) Thanks to Marcel and his Lovely group of staff my family and I had a lovely Stay. Highly recommended.   ","We appreciate your kind words and your recommendation. We're delighted you had a great stay and enjoyed our hospitality.  Looking forward to your return!  Best regards,"
Radisson RED Miami Airport,5,Comfortable nights in Miami,"The place is really nice, the food is really good and the drinks are even better. The rooms are super clean and comfortable. Definitely will stay again. I went for a couple of days and had to stay longer.","We appreciate your kind words and are delighted to hear that you enjoyed your stay with us. It's wonderful to know that you found our place, food, and drinks to your satisfaction.  We look forward to welcoming you back on your next visit to Miami.  Best regards,"
Radisson RED Miami Airport,5,Awesome staff,"The hotel was great! Felt relaxed, knowing that the hotel was close to the airport. and the staff were very attentive and caring. I love it here especially the people that make  the environment awesome!  ","We're thrilled to hear that you had a great experience at our hotel and felt relaxed during your stay. It's fantastic that our proximity to the airport was convenient for you.  Our dedicated staff takes pride in their attentive and caring service, and your kind words are greatly appreciated. We're glad you found our environment awesome!  We look forward to hosting you again in the future.  Warm regards,"
